PRT_ID,AREA,INT_SQFT,SALE_YEAR,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILD_YEAR,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE,INF_PRICE,NO. YEARS PASSED,1+0.04,Z*AA
P09411,Anna Nagar,1986,2006,19-12-2006,26,2,1,5,Ab Normal,No,22-12-1995,1995,Commercial,AllPub,Gravel,RH,4.9,4.2,2.5,3.765,760122,304049,21717770,33433509.12,11,1.04,1.539454056
P05346,Velachery,1855,2010,13-03-2010,14,3,2,5,Family,No,18-03-1988,1988,Others,NoSewer ,Paved,I,4.7,3.9,3.6,4.01,356321,77042,9630290,22823005.24,22,1.04,2.369918792
P00219,Chrompet,1220,2014,11-09-2014,36,2,1,4,Partial,No,12-09-2009,2009,Commercial,NoSewer ,No Access,RH,4.5,2.6,3.1,3.32,409027,198316,12394750,15080108.56,5,1.04,1.216652902
P09105,Chrompet,1167,2007,05-04-2007,137,1,1,3,Partial,No,12-04-1979,1979,Others,AllPub,No Access,RL,3.6,2.1,2.5,2.67,263152,33955,8488790,25455362.75,28,1.04,2.998703319
P09679,Velachery,1847,2006,13-03-2006,176,3,2,5,Family,No,15-03-1996,1996,Commercial,AllPub,Gravel,RM,2.4,4.5,2.1,3.26,604809,235204,16800250,24868474.05,10,1.04,1.480244285
P03377,Chrompet,771,2011,06-04-2011,175,1,1,2,Adj Land,No,14-04-1977,1977,Others,NoSewer ,Paved,RM,2.9,3.7,4,3.55,257578,33236,8308970,31526860.64,34,1.04,3.794316341
P09623,Velachery,1635,2006,22-06-2006,74,2,1,4,Ab Normal,No,26-06-1991,1991,Others,ELO,No Access,I,3.1,3.1,3.3,3.16,323346,121255,8083650,14558196.97,15,1.04,1.800943506
P07121,Chrompet,1054,2009,16-02-2009,143,1,1,3,Partial,No,26-02-1972,1972,Others,NoSewer ,Gravel,RM,2.2,3.1,3.3,2.89,245693,141746,9449730,40332296.76,37,1.04,4.268089856
P05512,Chrompet,1196,2010,11-02-2010,137,1,1,3,Family,No,16-02-1991,1991,Others,NoSewer ,No Access,RL,2.1,2.5,2.1,2.26,289554,35097,8774370,18486274.2,19,1.04,2.106849176
P04085,Velachery,1865,2010,11-11-2010,157,3,2,5,Family,No,24-11-1956,1956,Commercial,NoSewer ,Paved,RM,4.8,2.2,4.9,3.66,619987,294494,15499680,128861461.9,54,1.04,8.313814346
P06328,Velachery,1868,2009,12-09-2009,148,3,2,5,Family,No,14-09-2000,2000,Commercial,NoSewer ,Gravel,RH,3.8,3.8,3.1,,597135,188569,15714080,22366035.69,9,1.04,1.423311812
P06851,KK Nagar,2010,2009,06-05-2009,114,3,2,5,Partial,No,09-05-1999,1999,Others,NoSewer ,Gravel,RH,3.4,4.5,3.4,3.73,327762,262210,10925400,16172260.91,10,1.04,1.480244285
P04665,Chrompet,1074,2010,23-07-2010,100,1,1,3,Ab Normal,No,27-07-1994,1994,Others,NoSewer ,Gravel,RL,3,3.4,4.9,3.73,288821,86646,9627380,18031902.19,16,1.04,1.872981246
P00902,T Nagar,1972,2013,13-05-2013,111,2,1,5,Adj Land,No,14-05-2008,2008,Others,NoSewer ,No Access,RH,4.1,4.4,2.8,3.59,487297,167073,13922760,16939166.36,5,1.04,1.216652902
P00293,T Nagar,1685,2014,19-07-2014,105,1,1,4,Family,No,27-07-1980,1980,House,NoSewer ,Gravel,RM,2.8,4.4,4,3.74,352830,176415,12601080,47812483.75,34,1.04,3.794316341
P00755,T Nagar,1806,2013,18-08-2013,138,2,1,5,Family,No,27-08-1978,1978,House,NoSewer ,Paved,RH,4.1,5,3,3.83,430852,113382,11338200,44741546.23,35,1.04,3.946088994
P06980,Anna Nagar,1981,2009,01-04-2009,173,2,1,5,Adj Land,No,03-04-2000,2000,House,ELO,No Access,RL,2,3.1,3.2,2.755,373300,218831,12872430,18321481.67,9,1.04,1.423311812
P02696,Adyar,868,2011,15-08-2011,15,1,1,3,Normal Sale,No,17-08-2001,2001,Others,NoSewer ,Gravel,RL,2.3,2.1,2,2.11,325514,72336,9042050,13384442.84,10,1.04,1.480244285
P05950,Anna Nagar,1709,2009,22-11-2009,130,1,1,4,Family,No,24-11-2003,2003,Others,NoSewer ,Gravel,RH,4.8,3.2,4.3,4.2,452501,90500,12928590,16358790.81,6,1.04,1.265319018
P04978,Karapakkam,1226,2010,23-05-2010,180,1,1,3,Normal Sale,No,30-05-1983,1983,House,AllPub,Paved,A,4,3.7,4.7,4.19,154109,114339,4971250,14333946.03,27,1.04,2.883368576
P07194,Adyar,904,2009,24-01-2009,52,1,1,3,Adj Land,No,03-02-1969,1969,Commercial,ELO,No Access,RM,3.8,3.2,2.6,3.08,348042,23203,11601400,55698560.71,40,1.04,4.801020628
P01107,Chrompet,1198,2012,21-12-2012,105,1,1,3,Normal Sale,No,30-12-1976,1976,Others,AllPub,No Access,RH,3.9,3.4,4.4,3.85,255727,98991,8249260,33854406.66,36,1.04,4.103932554
P02442,Karapakkam,931,2011,03-10-2011,16,1,1,3,Adj Land,No,07-10-1993,1993,Commercial,AllPub,Paved,A,4,4.2,2.4,3.42,291669,166668,6944500,14068282.79,18,1.04,2.025816515
P05882,KK Nagar,2492,2009,06-12-2009,113,4,2,6,Ab Normal,No,10-12-1993,1993,Commercial,NoSewer ,Paved,RL,4.3,4.6,3.8,4.19,917550,224706,18725520,35072547.78,16,1.04,1.872981246
P02558,Karapakkam,851,2011,11-09-2011,105,1,1,2,Partial,No,18-09-1982,1982,House,AllPub,No Access,C,4,3.8,2.5,3.34,167896,39295,3572250,11140602.65,29,1.04,3.118651452
P04106,Karapakkam,1412,2010,06-11-2010,28,2,2,4,Adj Land,No,13-11-1982,1982,House,ELO,Gravel,RL,4.1,2.9,3.1,3.34,251370,192717,8379000,25126135.11,28,1.04,2.998703319
P09556,Adyar,779,2006,12-10-2006,51,1,1,2,Normal Sale,No,14-10-1997,1997,House,NoSewer ,No Access,C,3.6,4.4,2.4,3.16,190463,31744,5290635,7530223.291,9,1.04,1.423311812
P00389,T Nagar,1655,2014,21-05-2014,19,1,1,4,Ab Normal,No,29-05-1980,1980,Others,AllPub,Gravel,RH,2.1,4.3,3.9,3.46,376468,238430,12548930,47614610.16,34,1.04,3.794316341
P05245,Karapakkam,940,2010,03-04-2010,167,1,1,3,Adj Land,No,15-04-1961,1961,House,AllPub,Paved,RH,2.7,2.7,4.1,3.26,263599,64435,5857750,40028052.28,49,1.04,6.833349371
P01934,Karapakkam,545,2012,12-01-2012,154,1,1,2,Partial,No,19-01-1982,1982,Others,ELO,No Access,RH,3.1,2.2,3.4,2.95,165738,88651,3854375,12501270.28,30,1.04,3.24339751
P02088,Karapakkam,1469,2011,12-12-2011,200,2,2,4,Ab Normal,No,13-12-2006,2006,Commercial,NoSewer ,No Access,C,4.7,2,2.4,2.97,284423,132731,9480750,11534782,5,1.04,1.216652902
P03221,Karapakkam,1691,2011,02-05-2011,100,2,2,4,Ab Normal,No,09-05-1980,1980,House,NoSewer ,Gravel,RM,4,3.9,3.5,3.77,319558,178576,9398750,31703237.64,31,1.04,3.37313341
P03273,Karapakkam,1236,2011,21-04-2011,36,1,1,3,Normal Sale,No,30-04-1972,1972,Commercial,NoSewer ,Paved,I,3.3,3.3,2,2.78,334638,114481,8806250,40652872.99,39,1.04,4.616365988
P07825,Adyar,1260,2008,21-07-2008,89,2,2,4,Partial,No,28-07-1983,1983,Others,NoSewer ,No Access,A,3.8,4.1,4.5,4.21,256150,34615,6922975,18455518.28,25,1.04,2.665836331
P05787,Adyar,1021,2009,22-12-2009,176,1,1,3,Normal Sale,No,23-12-2004,2004,Commercial,NoSewer ,Paved,I,3.5,4.8,2.5,3.26,361868,175098,11673175,14202202.24,5,1.04,1.216652902
P05304,Anna Nagar,1589,2010,22-03-2010,39,1,,4,Partial,No,02-04-1966,1966,Others,AllPub,Gravel,RL,2.1,2.5,4.5,3.16,451857,85486,12212350,68590847.92,44,1.04,5.616515078
P08933,Adyar,1218,2007,13-06-2007,51,2,2,4,Normal Sale,No,20-06-1977,1977,Commercial,AllPub,No Access,I,4.7,3.9,3.3,3.84,377246,138323,12574850,40785237.18,30,1.04,3.24339751
P01725,Karapakkam,1378,2012,19-02-2012,192,2,2,4,Adj Land,No,21-02-2003,2003,Others,NoSewer ,Gravel,RM,4.2,2.8,2.6,3.14,297525,208268,9917500,14115694.9,9,1.04,1.423311812
P02686,Anna Nagar,1928,2011,18-08-2011,148,2,1,5,Partial,No,20-08-2001,2001,House,AllPub,No Access,RH,3.4,4.1,2.4,3.175,466682,105003,11667050,17270084.08,10,1.04,1.480244285
